"Lake Partner Program Calcium (Ca) Concentration Data, 2008-2016",,,,,,,,
,,,,,Latitude,Longitude,,Ca
Lake Name,Township,STN,Site ID,Site Description,(DMS),(DMS),Date,(mg/L)
BIRCH LAKE,DAY,7523,1,Deep spot,461914,832704,09-Jul-13,6.4
BIRCH LAKE,DAY,7523,1,Deep spot,461914,832704,21-May-14,5.7
BIRCH LAKE,DAY,7523,1,Deep spot,461914,832704,15-Jun-14,6.0
BIRCH LAKE,DAY,7523,1,Deep spot,461914,832704,21-Jul-14,6.7
BIRCH LAKE,DAY,7523,1,Deep spot,461914,832704,24-May-15,6.5
BIRCH LAKE,DAY,7523,1,Deep spot,461914,832704,26-Jun-15,6.4
BIRD LAKE,OAKLEY,425,1,"Mid Lake, deep spot",450240,790350,29-Oct-08,2.3
BITTER LAKE,GUILFORD,433,1,"Mid Lake, deep spot",451020,783440,19-May-08,2.5
BITTER LAKE,GUILFORD,433,1,"Mid Lake, deep spot",451020,783440,31-May-09,2.0
BITTER LAKE,GUILFORD,433,1,"Mid Lake, deep spot",451020,783440,01-Jun-10,2.2
BITTER LAKE,GUILFORD,433,1,"Mid Lake, deep spot",451020,783440,26-May-12,2.3
BITTER LAKE,GUILFORD,433,1,"Mid Lake, deep spot",451020,783440,06-May-13,1.9
BITTER LAKE,GUILFORD,433,1,"Mid Lake, deep spot",451020,783440,21-May-15,2.4
BITTER LAKE,GUILFORD,433,1,"Mid Lake, deep spot",451020,783440,02-May-16,2.5
BITTER LAKE,GUILFORD,433,2,Deep Spot,451026,783425,13-May-15,2.1
BITTER LAKE,GUILFORD,433,2,Deep Spot,451026,783425,23-May-16,2.7
BITTERN LAKE,PERRY,4281,1,Deep spot,452631,791814,17-May-08,1.7
BITTERN LAKE,PERRY,4281,2,Deep spot,452648,791822,02-May-14,1.7
BLACK DONALD LAKE,BROUGHAM,6943,3,Back Bay,451338,765629,13-May-08,15.1
BLACK LAKE,LUTTERWORTH,440,1,"Main basin, deep spot",444897,784940,26-May-14,2.3
BLACK LAKE,LUTTERWORTH,440,1,"Main basin, deep spot",444897,784940,03-May-15,2.3
BLACK LAKE,LUTTERWORTH,440,1,"Main basin, deep spot",444897,784940,26-May-16,2.5
BLACK LAKE,"BATHURST, BURGESS, SHERBROOKE",6944,1,"S/E Basin, deep spot",444605,761741,18-May-09,23.8
BLACK LAKE,"BATHURST, BURGESS, SHERBROOKE",6944,3,"N/E Basin, deep spot",444710,761722,13-May-08,22.1
BLACK STURGEON LAKES,MELICK,450,4,"Lower, off Lot 37",494843,942014,18-Sep-08,4.7
BLACK STURGEON LAKES,MELICK,450,6,UpperLk-EagleViewBay,495042,941610,25-May-08,4.1
BLACK STURGEON LAKES,MELICK,450,6,UpperLk-EagleViewBay,495042,941610,09-May-10,4.1
BLACK STURGEON LAKES,MELICK,450,6,UpperLk-EagleViewBay,495042,941610,09-May-11,4.1
BLACK STURGEON LAKES,MELICK,450,6,UpperLk-EagleViewBay,495042,941610,23-Apr-12,4.3
BLACK STURGEON LAKES,MELICK,450,6,UpperLk-EagleViewBay,495042,941610,24-May-13,3.9
BLACK STURGEON LAKES,MELICK,450,6,UpperLk-EagleViewBay,495042,941610,27-May-14,3.8
BLACK STURGEON LAKES,MELICK,450,6,UpperLk-EagleViewBay,495042,941610,06-May-15,4.3
BLACK STURGEON LAKES,MELICK,450,6,UpperLk-EagleViewBay,495042,941610,01-May-16,4.1
BLACK STURGEON LAKES,MELICK,450,7,Lower Lake-deep spot,494923,941938,19-May-08,4.7
BLACK STURGEON LAKES,MELICK,450,7,Lower Lake-deep spot,494923,941938,17-May-10,4.1
BLACK STURGEON LAKES,MELICK,450,7,Lower Lake-deep spot,494923,941938,18-May-12,4.6
BLACK STURGEON LAKES,MELICK,450,12,Lower Lake NW bay-deep spot,495279,942686,18-May-14,4.8
BLACK STURGEON LAKES,MELICK,450,12,Lower Lake NW bay-deep spot,495279,942686,16-May-15,4.1
BLACK STURGEON LAKES,MELICK,450,12,Lower Lake NW bay-deep spot,495279,942686,23-May-16,4.7
BLACK STURGEON LAKES,MELICK,450,13,Lower Lake S Basin deep spot,494928,942572,04-Jun-14,4.7
BLACK STURGEON LAKES,MELICK,450,13,Lower Lake S Basin deep spot,494928,942572,28-Apr-15,4.9
BLACK STURGEON LAKES,MELICK,450,13,Lower Lake S Basin deep spot,494928,942572,09-May-16,5.0
BLACK STURGEON LAKES,MELICK,450,14,"Lower Lake, Mid Lake Deep spot",494935,942502,02-Jun-15,4.9
BLACK STURGEON LAKES,MELICK,450,15,"Upper Lk, Deep Spot",494938,941851,08-May-16,4.0
BLACK STURGEON LAKES,MELICK,450,16,"Lower Lk, Deep Spot",495204,942621,08-May-16,4.6
BLACKSTONE LAKE,ARCHIPELAGO,461,1,"Mid Lake, deep spot",451400,795300,23-May-09,3.5
BLACKSTONE LAKE,ARCHIPELAGO,461,1,"Mid Lake, deep spot",451400,795300,20-May-10,3.7
BLACKSTONE LAKE,ARCHIPELAGO,461,1,"Mid Lake, deep spot",451400,795300,31-May-11,3.7
BLACKSTONE LAKE,ARCHIPELAGO,461,1,"Mid Lake, deep spot",451400,795300,10-May-12,3.8
BLACKSTONE LAKE,ARCHIPELAGO,461,1,"Mid Lake, deep spot",451400,795300,26-May-14,4.0
BLACKSTONE LAKE,ARCHIPELAGO,461,1,"Mid Lake, deep spot",451400,795300,02-Jun-15,3.8
BLACKSTONE LAKE,ARCHIPELAGO,461,1,"Mid Lake, deep spot",451400,795300,23-Jun-16,37.9
BLACKSTONE LAKE,ARCHIPELAGO,461,1,"Mid Lake, deep spot",451400,795300,23-Jun-16,37.9
BLACKWATER LAKE,SEGUIN,462,1,Deep spot,452334,794909,18-Sep-08,3.5
BLINDFOLD LAKE,KIRKUP,468,1,"Mid Lake, deep spot",494029,941553,29-Oct-08,2.8
BLINDFOLD LAKE,KIRKUP,468,1,"Mid Lake, deep spot",494029,941553,08-May-10,3.4
BLINDFOLD LAKE,KIRKUP,468,1,"Mid Lake, deep spot",494029,941553,29-May-11,2.9
BLINDFOLD LAKE,KIRKUP,468,1,"Mid Lake, deep spot",494029,941553,12-May-12,3.1
BLINDFOLD LAKE,KIRKUP,468,1,"Mid Lake, deep spot",494029,941553,24-May-13,3.1
BLINDFOLD LAKE,KIRKUP,468,1,"Mid Lake, deep spot",494029,941553,25-May-14,3.4
BLINDFOLD LAKE,KIRKUP,468,1,"Mid Lake, deep spot",494029,941553,24-May-15,3.7
BLINDFOLD LAKE,KIRKUP,468,1,"Mid Lake, deep spot",494029,941553,21-May-16,3.6
BLUE LAKE,SEGUIN,477,1,"Mid Lake, deep spot",451642,795947,02-Jun-10,1.1
BOB LAKE (BIG),ANSON,505,1,"Mid Lake, deep spot",445500,784700,23-May-12,4.5
BOB LAKE (BIG),ANSON,505,2,"South end, deep spot",445432,784634,25-Apr-09,3.9
BOB LAKE (BIG),ANSON,505,2,"South end, deep spot",445432,784634,04-Apr-10,3.7
BOB LAKE (BIG),ANSON,505,2,"South end, deep spot",445432,784634,30-Apr-11,3.9
BOB LAKE (BIG),ANSON,505,2,"South end, deep spot",445432,784634,26-May-13,3.9
BOB LAKE (BIG),ANSON,505,2,"South end, deep spot",445432,784634,18-May-14,4.5
BOB LAKE (BIG),ANSON,505,2,"South end, deep spot",445432,784634,29-May-15,4.5
BOBS LAKE,BEDFORD,510,2,Buck Bay,443733,763737,04-Sep-08,14.3
BOBS LAKE,BEDFORD,510,2,Buck Bay,443733,763737,30-May-09,13.7
BOBS LAKE,BEDFORD,510,2,Buck Bay,443733,763737,24-May-10,14.4
BOBS LAKE,BEDFORD,510,2,Buck Bay,443733,763737,12-Jun-11,13.8
BOBS LAKE,BEDFORD,510,2,Buck Bay,443733,763737,21-May-12,14.3
BOBS LAKE,BEDFORD,510,2,Buck Bay,443733,763737,20-May-13,15.5
BOBS LAKE,BEDFORD,510,2,Buck Bay,443733,763737,21-Jun-14,15.3
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,25-May-08,15.2
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,03-Jun-09,17.3
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,28-May-10,16.0
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,29-May-11,15.3
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,06-Jun-12,17.5
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,27-May-13,16.9
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,29-May-14,16.6
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,03-Jun-15,18.7
BOBS LAKE,BEDFORD,510,3,"E Basin, deep spot",444049,763548,01-Jun-16,17.7
BOBS LAKE,BEDFORD,510,4,Crow Bay,444035,763641,16-May-08,15.3
BOBS LAKE,BEDFORD,510,4,Crow Bay,444035,763641,25-May-10,14.0
BOBS LAKE,BEDFORD,510,4,Crow Bay,444035,763641,13-May-11,14.0
BOBS LAKE,BEDFORD,510,4,Crow Bay,444035,763641,19-May-12,14.9
BOBS LAKE,BEDFORD,510,4,Crow Bay,444035,763641,28-May-13,14.8
BOBS LAKE,BEDFORD,510,5,Central Narrows,444208,763349,18-Sep-08,16.5
BOBS LAKE,BEDFORD,510,5,Central Narrows,444208,763349,24-May-09,16.5
BOBS LAKE,BEDFORD,510,5,Central Narrows,444208,763349,29-May-10,16.4
BOBS LAKE,BEDFORD,510,5,Central Narrows,444208,763349,28-May-12,15.9
BOBS LAKE,BEDFORD,510,5,Central Narrows,444208,763349,10-Jun-13,16.4
BOBS LAKE,BEDFORD,510,5,Central Narrows,444208,763349,31-May-14,17.0
BOBS LAKE,BEDFORD,510,5,Central Narrows,444208,763349,31-May-16,18.7
BOBS LAKE,BEDFORD,510,6,"Green Bay,mid-bay",443847,763539,19-May-08,28.4
BOBS LAKE,BEDFORD,510,6,"Green Bay,mid-bay",443847,763539,24-May-10,29.4
BOBS LAKE,BEDFORD,510,6,"Green Bay,mid-bay",443847,763539,28-May-11,25.5
BOBS LAKE,BEDFORD,510,6,"Green Bay,mid-bay",443847,763539,26-May-12,25.4
BOBS LAKE,BEDFORD,510,6,"Green Bay,mid-bay",443847,763539,18-May-13,28.4
BOBS LAKE,BEDFORD,510,6,"Green Bay,mid-bay",443847,763539,25-May-14,27.8
BOBS LAKE,BEDFORD,510,6,"Green Bay,mid-bay",443847,763539,08-May-15,27.3
BOBS LAKE,BEDFORD,510,6,"Green Bay,mid-bay",443847,763539,12-May-16,28.9
BOBS LAKE,BEDFORD,510,7,Long Bay,444304,763206,04-Sep-08,16.7
BOBS LAKE,BEDFORD,510,7,Long Bay,444304,763206,06-Jun-09,16.2
BOBS LAKE,BEDFORD,510,7,Long Bay,444304,763206,24-May-10,17.3
BOBS LAKE,BEDFORD,510,7,Long Bay,444304,763206,21-May-12,17.7
BOBS LAKE,BEDFORD,510,7,Long Bay,444304,763206,27-May-13,18.7
BOBS LAKE,BEDFORD,510,7,Long Bay,444304,763206,28-Jun-14,17.9
BOBS LAKE,BEDFORD,510,7,Long Bay,444304,763206,18-May-15,14.9
BOBS LAKE,BEDFORD,510,7,Long Bay,444304,763206,24-May-16,18.0
BOBS LAKE,BEDFORD,510,8,Mill Bay,444332,763353,11-Jun-11,15.3
BOBS LAKE,BEDFORD,510,8,Mill Bay,444332,763353,14-May-15,21.7
BOBS LAKE,BEDFORD,510,8,Mill Bay,444332,763353,10-May-16,21.1
BOBS LAKE,BEDFORD,510,9,Mud Bay,444249,763459,25-May-08,19.6
BOBS LAKE,BEDFORD,510,9,Mud Bay,444249,763459,23-May-10,21.1
BOBS LAKE,BEDFORD,510,9,Mud Bay,444249,763459,21-May-11,17.2
BOBS LAKE,BEDFORD,510,9,Mud Bay,444249,763459,20-May-12,18.0
BOBS LAKE,BEDFORD,510,9,Mud Bay,444249,763459,18-May-13,19.2
BOBS LAKE,BEDFORD,510,9,Mud Bay,444249,763459,19-May-14,19.5
BOBS LAKE,BEDFORD,510,9,Mud Bay,444249,763459,10-May-15,19.1
BOBS LAKE,BEDFORD,510,9,Mud Bay,444249,763459,22-May-16,18.1
BOBS LAKE,BEDFORD,510,10,Norris Bay,444430,763204,19-May-08,16.2
BOBS LAKE,BEDFORD,510,10,Norris Bay,444430,763204,16-May-10,17.8
BOBS LAKE,BEDFORD,510,10,Norris Bay,444430,763204,27-May-11,16.1
BOBS LAKE,BEDFORD,510,10,Norris Bay,444430,763204,13-May-12,17.2
BOBS LAKE,BEDFORD,510,10,Norris Bay,444430,763204,19-May-13,17.7
BOBS LAKE,BEDFORD,510,10,Norris Bay,444430,763204,21-May-14,17.7
BOBS LAKE,BEDFORD,510,10,Norris Bay,444430,763204,25-May-15,19.9
BOBS LAKE,BEDFORD,510,10,Norris Bay,444430,763204,23-May-16,18.6
BOBS LAKE,BEDFORD,510,11,"W Basin, deep spot",443936,763836,18-May-08,15.2
BOBS LAKE,BEDFORD,510,11,"W Basin, deep spot",443936,763836,01-May-10,14.8
BOBS LAKE,BEDFORD,510,11,"W Basin, deep spot",443936,763836,30-Apr-11,12.7
BOBS LAKE,BEDFORD,510,11,"W Basin, deep spot",443936,763836,26-May-12,15.4
BOBS LAKE,BEDFORD,510,11,"W Basin, deep spot",443936,763836,01-Jun-13,15.6
BOBS LAKE,BEDFORD,510,11,"W Basin, deep spot",443936,763836,17-May-14,14.7
BOBS LAKE,BEDFORD,510,11,"W Basin, deep spot",443936,763836,09-May-15,14.9
BOBS LAKE,BEDFORD,510,11,"W Basin, deep spot",443936,763836,14-May-16,16.0
BOLGER LAKE,BURTON,521,1,"Mid Lake, deep spot",454007,800956,01-May-08,1.2
BOLGER LAKE,BURTON,521,1,"Mid Lake, deep spot",454007,800956,11-May-09,0.9
BOLGER LAKE,BURTON,521,1,"Mid Lake, deep spot",454007,800956,20-Apr-10,0.9
BOLGER LAKE,BURTON,521,1,"Mid Lake, deep spot",454007,800956,11-May-11,0.7
BOLGER LAKE,BURTON,521,1,"Mid Lake, deep spot",454007,800956,25-May-12,1.2
BOLGER LAKE,BURTON,521,1,"Mid Lake, deep spot",454007,800956,02-May-13,0.8
BOLGER LAKE,BURTON,521,1,"Mid Lake, deep spot",454007,800956,22-May-14,1.1
BOLGER LAKE,BURTON,521,1,"Mid Lake, deep spot",454007,800956,25-Jun-15,0.9
BOND LAKE,RICHMOND HILL,7573,1,"Mid lake, deep spot",435600,792655,30-May-14,30.6
BOND LAKE,RICHMOND HILL,7573,1,"Mid lake, deep spot",435600,792655,09-Jun-14,32.9
BOND LAKE,RICHMOND HILL,7573,1,"Mid lake, deep spot",435600,792655,27-Jul-14,28.6
BOND LAKE,RICHMOND HILL,7573,1,"Mid lake, deep spot",435600,792655,12-Jul-15,25.3
BOND LAKE,RICHMOND HILL,7573,1,"Mid lake, deep spot",435600,792655,12-Jun-16,29.7
BOND LAKE,RICHMOND HILL,7573,1,"Mid lake, deep spot",435600,792655,12-Jun-16,29.7
BOSHKUNG LAKE,STANHOPE,539,2,"Mid Lake, deep spot",450350,784340,21-Jul-11,3.4
BOTTLE LAKE,GALWAY-CAVENDISH,541,1,"Mid lake, deep spot",444600,781700,29-May-10,2.5
BOTTLE LAKE,GALWAY-CAVENDISH,541,1,"Mid lake, deep spot",444600,781700,21-May-12,2.7
BOTTLE LAKE,GALWAY-CAVENDISH,541,1,"Mid lake, deep spot",444600,781700,20-May-13,2.5
BOTTLE LAKE,GALWAY-CAVENDISH,541,1,"Mid lake, deep spot",444600,781700,26-May-14,2.6
BOTTLE LAKE,GALWAY-CAVENDISH,541,1,"Mid lake, deep spot",444600,781700,07-Jun-15,2.9
BOTTLE LAKE,GALWAY-CAVENDISH,541,1,"Mid lake, deep spot",444600,781700,21-May-16,2.5
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,25-May-08,17.8
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,24-May-09,17.4
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,16-May-10,17.3
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,03-Jul-11,17.2
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,29-Apr-12,17.0
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,20-May-13,15.5
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,07-Jul-14,17.2
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,10-Jul-15,16.7
BOW LAKE,SNOWDON,551,1,"N end, Mid-lake",445100,783350,23-May-16,16.5
BOWLEY LAKE,,7495,1,"Mid lake, deep spot",451024,761509,14-May-12,11.7
BOWLEY LAKE,,7495,1,"Mid lake, deep spot",451024,761509,09-Jun-14,11.3
BRACK LAKE,NANSEN,559,1,"Mid Lake, Deep Spot",491877,821164,10-Jun-14,37.3
BRADY LAKE,HINDON,560,1,Inlet,450300,785000,19-May-08,2.6
BRADY LAKE,HINDON,560,1,Inlet,450300,785000,06-Jun-10,2.3
BRADY LAKE,HINDON,560,1,Inlet,450300,785000,20-May-12,2.5
BRADY LAKE,HINDON,560,1,Inlet,450300,785000,13-Jul-14,2.6
BRADY LAKE,HINDON,560,1,Inlet,450300,785000,05-Jul-15,2.7
BRADY LAKE,HINDON,560,1,Inlet,450300,785000,18-Jun-16,2.3
BRADY LAKE,HINDON,560,1,Inlet,450300,785000,18-Jun-16,2.3
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,19-May-08,3.8
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,18-Sep-08,8.5
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,29-Oct-08,4.2
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,06-May-09,2.8
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,08-May-10,3.5
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,21-Jun-10,3.3
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,09-May-11,2.7
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,20-Jun-11,3.4
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,17-Jul-11,3.5
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,16-Aug-11,3.4
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,14-Sep-11,3.4
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,05-Oct-11,3.6
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,19-May-12,3.8
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,01-Jul-12,4.1
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,26-Aug-12,4.2
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,18-May-13,2.9
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,29-Jun-13,3.4
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,28-Jul-13,3.7
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,19-May-14,3.1
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,28-Jun-14,3.7
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,17-May-15,2.7
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,29-Jun-15,3.7
BRANDY LAKE,WATT,562,1,Deep spot,450629,793132,23-May-16,3.3
BRAY LAKE,MACHAR,567,1,Deep spot,455414,792818,29-Oct-08,1.4
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,17-Jun-09,39.8
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,22-May-10,33.2
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,17-Jun-11,32.6
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,25-Jul-11,23.7
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,26-Aug-11,22.4
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,07-Oct-11,25.7
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,21-May-12,31.1
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,30-Jun-12,24.7
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,15-Jul-12,24.7
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,19-Aug-12,21.3
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,23-Jun-13,38.3
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,14-Jul-13,28.1
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,09-Aug-13,27.4
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,01-Jun-14,37.7
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,21-Jun-14,36.1
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,27-Jul-14,29.8
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,24-May-15,34.6
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,30-Jun-15,31.0
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,29-May-16,33.6
BREWSTER'S LAKE,GREY HIGHLANDS,6852,1,"Mid Lake, deep spot",442027,801816,25-Jul-16,31.4
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,24-May-10,6.1
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,23-Jun-10,6.7
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,30-Jul-11,6.2
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,10-Sep-11,6.2
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,30-Oct-11,6.0
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,25-Nov-11,5.7
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,08-Feb-12,9.5
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,26-May-12,6.2
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,24-Jun-12,6.5
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,22-Jul-12,7.5
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,13-Aug-12,6.3
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,27-May-13,5.8
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,09-Jun-13,5.7
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,29-Jul-13,6.0
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,23-Jun-14,5.6
BRIGHT LAKE,DAY & BRIGHT,578,1,"Mid Lake, deep spot",461516,831647,25-Jun-16,5.9
BROWNLEE LAKE,DAY,7524,1,Deep spot,461810,832537,03-Jun-12,8.0
BROWNLEE LAKE,DAY,7524,1,Deep spot,461810,832537,09-Jul-12,7.7
BROWNLEE LAKE,DAY,7524,1,Deep spot,461810,832537,08-Aug-12,7.7
BROWNLEE LAKE,DAY,7524,1,Deep spot,461810,832537,07-Jun-13,6.3
BROWNLEE LAKE,DAY,7524,1,Deep spot,461810,832537,24-Jul-13,6.9
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,12-May-08,3.8
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,18-Sep-08,3.6
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,29-Oct-08,3.2
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,26-May-09,2.9
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,01-Apr-10,3.4
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,01-Jun-10,3.0
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,02-Jul-10,2.9
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,24-Apr-11,3.0
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,25-May-11,3.2
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,17-Jul-11,3.3
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,21-Aug-11,3.4
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,30-Sep-11,3.2
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,16-Oct-11,3.1
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,08-May-12,3.4
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,12-Jun-12,3.8
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,18-Jul-12,3.5
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,20-Aug-12,3.3
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,02-May-13,3.5
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,15-Jun-13,3.2
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,17-Jul-13,3.4
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,18-May-14,3.7
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,14-Jun-14,3.7
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,15-Jul-14,3.8
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,17-May-15,3.0
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,20-Jun-15,3.6
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,18-Jul-15,3.8
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,22-May-16,3.3
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,26-Jun-16,3.6
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,26-Jun-16,3.6
BRUCE LAKE,MEDORA,604,2,Central Near Island,451107,793849,23-Jul-16,3.6
BRULE LAKE (WENSLEY),CLARENDON & MILLER,6183,1,"S end, Mid Lake",450140,770200,29-Oct-08,15.9
BRULE LAKE (WENSLEY),CLARENDON & MILLER,6183,1,"S end, Mid Lake",450140,770200,08-Jul-10,16.8
BRULE LAKE (WENSLEY),CLARENDON & MILLER,6183,1,"S end, Mid Lake",450140,770200,19-Jun-11,15.2
BRULE LAKE (WENSLEY),CLARENDON & MILLER,6183,1,"S end, Mid Lake",450140,770200,06-May-12,17.1
BRULE LAKE (WENSLEY),CLARENDON & MILLER,6183,1,"S end, Mid Lake",450140,770200,24-Jun-13,15.4
BRULE LAKE (WENSLEY),CLARENDON & MILLER,6183,1,"S end, Mid Lake",450140,770200,15-Jun-14,15.9
BRULE LAKE (WENSLEY),CLARENDON & MILLER,6183,1,"S end, Mid Lake",450140,770200,14-May-15,16.1
