"Sample Number","Sampled Date","Partial Postal Code","Lead Amount ppb"
1991050,30-DEC-16,M9V,"0.0919"
1991054,30-DEC-16,M6K,"1.57"
1991058,29-DEC-16,M6G,"13.8"
1991052,28-DEC-16,M6G,"3.43"
1990624,28-DEC-16,M6H,"0.0907"
1991034,28-DEC-16,M6M,"2.36"
1991032,28-DEC-16,M4R,"0.251"
1991033,28-DEC-16,M6M,"<0.0500"
1991059,28-DEC-16,M6G,"0.136"
1991035,27-DEC-16,M6G,"0.783"
1990461,23-DEC-16,M4E,"1.79"
1991038,22-DEC-16,M6P,"1.68"
1991051,22-DEC-16,M6G,"0.447"
1991056,22-DEC-16,M4L,"2.40"
1991053,22-DEC-16,M6K,"1.28"
1990460,21-DEC-16,M9A,"<0.0500"
1991036,21-DEC-16,M5R,"<0.0500"
1987599,20-DEC-16,M6H,"0.0569"
1988693,20-DEC-16,M4L,"0.456"
1994214,19-DEC-16,M4K,"<0.0500"
1987597,19-DEC-16,M6P,"0.203"
1988694,19-DEC-16,M4W,"6.22"
1990625,19-DEC-16,M6K,"0.612"
1987433,19-DEC-16,M4H,"<0.0500"
2001115,19-DEC-16,M6P,"<0.0500"
1987263,16-DEC-16,M6G,"0.0694"
1987273,14-DEC-16,M6P,"0.585"
1987600,14-DEC-16,M5M,"0.105"
1991057,14-DEC-16,M2P,"0.0999"
1986645,14-DEC-16,M4E,"0.0772"
1987275,14-DEC-16,M6K,"0.487"
1987264,14-DEC-16,M6M,"0.0557"
1988689,13-DEC-16,M4J,"<0.0500"
1985328,13-DEC-16,M5V,"<0.0500"
1988691,13-DEC-16,M4J,"<0.0500"
1987262,13-DEC-16,M6R,"<0.0500"
1986647,12-DEC-16,M1N,"2.63"
1987270,12-DEC-16,M6C,"8.57"
1988690,12-DEC-16,M4E,"<0.0500"
1986646,12-DEC-16,M4M,"0.852"
1988692,12-DEC-16,M4J,"0.234"
1986648,11-DEC-16,M4T,"0.269"
1988697,09-DEC-16,M4J,"0.0724"
1988696,09-DEC-16,M1L,"0.477"
1988695,08-DEC-16,M4J,"0.0670"
1984153,08-DEC-16,M4E,"1.94"
1987272,08-DEC-16,M6P,"2.33"
1983731,07-DEC-16,M6P,"<0.0500"
1984152,07-DEC-16,M6C,"0.339"
1985327,07-DEC-16,M2R,"1.24"
1987274,07-DEC-16,M6R,"0.0980"
1984154,06-DEC-16,M4M,"0.118"
1983781,06-DEC-16,M4C,"0.515"
1984173,06-DEC-16,M6N,"0.153"
1982597,06-DEC-16,M4H,"2.14"
1984172,06-DEC-16,M5M,"18.2"
1983733,05-DEC-16,M4L,"0.609"
1984155,05-DEC-16,M4K,"0.179"
1983775,05-DEC-16,M6P,"0.114"
1982596,05-DEC-16,M4H,"0.197"
1983765,05-DEC-16,M8W,"1.28"
1987598,04-DEC-16,M1E,"<0.0500"
1983752,04-DEC-16,M6H,"0.103"
1999492,04-DEC-16,M4M,"0.159"
1983774,02-DEC-16,M1N,"3.91"
1983735,02-DEC-16,M4W,"<0.0500"
1983773,02-DEC-16,M2N,"0.395"
1983762,02-DEC-16,M4W,"3.29"
1982485,01-DEC-16,M4K,"0.897"
1982487,01-DEC-16,M4S,"2.00"
1983764,01-DEC-16,M4W,"<0.0500"
1984151,30-NOV-16,M5A,"0.807"
1984156,30-NOV-16,M4E,"1.80"
1983772,30-NOV-16,M4C,"1.93"
1980282,29-NOV-16,M9R,"0.810"
1982493,29-NOV-16,M4J,"<0.0500"
1982486,29-NOV-16,M6A,"<0.0500"
1981353,29-NOV-16,M4E,"<0.0500"
1980294,29-NOV-16,M1W,"<0.0500"
1981359,28-NOV-16,M4M,"0.201"
1981356,28-NOV-16,M6R,"1.67"
1983740,28-NOV-16,M6H,"0.132"
1980286,28-NOV-16,M4S,"0.0993"
1980316,27-NOV-16,M4J,"0.110"
1980287,27-NOV-16,M6M,"4.05"
1980283,25-NOV-16,M6E,"0.360"
1980288,25-NOV-16,M4C,"<0.0500"
1979894,25-NOV-16,M1T,"0.118"
1979893,25-NOV-16,M1T,"0.0670"
1980281,25-NOV-16,M6E,"0.0906"
1979892,25-NOV-16,M5R,"0.437"
1980310,24-NOV-16,M8Y,"0.0568"
1980285,24-NOV-16,M6R,"0.193"
1978518,23-NOV-16,M8Z,"<0.0500"
1980308,23-NOV-16,M6K,"3.11"
1978534,23-NOV-16,M6R,"0.0915"
1980289,23-NOV-16,M6H,"0.572"
1980284,22-NOV-16,M9C,"0.105"
1979891,22-NOV-16,M2N,"0.0990"
1980290,22-NOV-16,M5S,"<0.0500"
1984165,22-NOV-16,M5J,"0.0936"
1978564,21-NOV-16,M4C,"1.34"
1978537,20-NOV-16,M4J,"0.0536"
1978551,20-NOV-16,M5R,"9.44"
1978530,18-NOV-16,M6M,"1.88"
1978644,17-NOV-16,M4B,"0.602"
1978645,17-NOV-16,M4B,"0.412"
1978647,17-NOV-16,M4B,"1.21"
1977424,17-NOV-16,M6E,"1.53"
1978528,17-NOV-16,M6S,"1.62"
1977425,17-NOV-16,M5M,"<0.0500"
1978553,17-NOV-16,M1L,"0.349"
1975900,16-NOV-16,M4C,"0.300"
1978529,16-NOV-16,M6N,"<0.0500"
1978550,16-NOV-16,M1E,"0.125"
1975901,16-NOV-16,M4C,"1.44"
1978532,16-NOV-16,M6G,"1.47"
1978535,15-NOV-16,M6R,"2.33"
1976244,14-NOV-16,M4M,"2.29"
1975899,14-NOV-16,M4C,"2.08"
