Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
1137772,02-Feb-11,M5M,11.0
1137792,02-Feb-11,M4M,30.0
1137793,02-Feb-11,M4M,3.00
1137871,02-Feb-11,M4X,<0.500
1137872,02-Feb-11,M4K,<0.500
1137882,03-Feb-11,M6G,4.00
1137899,15-Feb-11,M6P,95.0
1137902,08-Feb-11,M4L,3.00
1137905,09-Feb-11,M4L,37.0
1137908,09-Feb-11,M4X,10.0
1137910,09-Feb-11,M6J,12.0
1137940,15-Feb-11,M5A,0.600
1137947,10-Feb-11,M2M,<0.500
1137952,10-Feb-11,M2J,4.00
1137960,15-Feb-11,M5V,<0.500
1137964,15-Feb-11,M4N,<0.500
1138756,13-Feb-11,M6H,<0.500
1138777,10-Feb-11,M6H,0.900
1138784,07-Feb-11,M6P,7.00
1138789,08-Feb-11,M6K,<0.500
1138799,10-Feb-11,M9B,<0.500
1138804,10-Feb-11,M6E,0.800
1138807,10-Feb-11,M8Z,<0.500
1138813,16-Feb-11,M1G,2.00
1138820,11-Feb-11,M6J,3.00
1138822,11-Feb-11,M9B,<0.500
1138823,13-Feb-11,M6C,5.00
1138826,25-Jan-11,M1G,<0.500
1138828,14-Feb-11,M6E,9.00
1138833,14-Feb-11,M6G,1.00
1138848,20-Jan-11,M6H,4.00
1138850,14-Feb-11,M6R,<0.500
1138855,17-Feb-11,M6C,12.0
1138868,14-Feb-11,M6H,6.00
1138869,04-Feb-11,M8X,<0.500
1139530,29-Jan-11,M6P,<0.500
1140121,11-Feb-11,M6B,4.00
1140166,08-Feb-11,M4N,7.00
1140185,09-Feb-11,M2N,<0.500
1140187,11-Feb-11,M2M,10.0
1140188,15-Feb-11,M5M,2.00
1141074,24-Feb-11,M6S,1.00
1141079,18-Feb-11,M6E,14.0
1141080,17-Feb-11,M6S,2.00
1141081,17-Feb-11,M6P,1.00
1141095,16-Feb-11,M6R,3.00
1141968,15-Feb-11,M4J,9.00
1141970,16-Feb-11,M4G,<0.500
1141971,14-Feb-11,M4M,6.00
