"Sample Number","Sampled Date","Partial Postal Code","Lead Amount ppb"
1839002,31-DEC-15,M4L,"0.620"
1838110,30-DEC-15,M6S,"0.0949"
1838082,29-DEC-15,M5A,"0.146"
1838109,28-DEC-15,M5M,"1.34"
1838103,24-DEC-15,M4L,"8.29"
1837037,24-DEC-15,M4L,"0.493"
1837015,24-DEC-15,M4J,"0.0872"
1838111,23-DEC-15,M6P,"0.0932"
1834926,22-DEC-15,M4L,"1.14"
1837011,22-DEC-15,M4K,"0.0542"
1837013,22-DEC-15,M4L,"0.0752"
1838090,22-DEC-15,M4L,"5.04"
1838092,22-DEC-15,M5S,"0.0821"
1838104,22-DEC-15,M5S,"<0.0500"
1837700,22-DEC-15,M4G,"0.160"
1834931,21-DEC-15,M6M,"2.32"
1837012,21-DEC-15,M4E,"0.590"
1834929,21-DEC-15,M8X,"0.940"
1834927,20-DEC-15,M8V,"<0.0500"
1834932,20-DEC-15,M6S,"2.77"
1834930,18-DEC-15,M6M,"<0.0500"
1833831,18-DEC-15,M6K,"0.126"
1837024,18-DEC-15,M4M,"0.425"
1833824,18-DEC-15,M6H,"0.155"
1833586,17-DEC-15,M4E,"2.14"
1833589,17-DEC-15,M4C,"1.31"
1834928,17-DEC-15,M4S,"0.710"
1833823,17-DEC-15,M6H,"1.53"
1833826,17-DEC-15,M8Z,"0.0849"
1833587,16-DEC-15,M4K,"<0.0500"
1833588,16-DEC-15,M6S,"0.226"
1837014,16-DEC-15,M4C,"<0.0500"
1834925,15-DEC-15,M3H,"<0.0500"
1833825,14-DEC-15,M6S,"1.37"
1838093,13-DEC-15,M6S,"<0.0500"
1848396,13-DEC-15,M6E,"0.882"
1832038,13-DEC-15,M4J,"0.241"
1832032,13-DEC-15,M4R,"2.23"
1832039,11-DEC-15,M4C,"<0.0500"
1832035,11-DEC-15,M6C,"<0.0500"
1832047,11-DEC-15,M6S,"<0.0500"
1834924,10-DEC-15,M4E,"83.3"
1830481,10-DEC-15,M4W,"<0.0500"
1832037,10-DEC-15,M4C,"4.95"
1832033,10-DEC-15,M3C,"<0.0500"
1832046,09-DEC-15,M6E,"5.88"
1832036,09-DEC-15,M5M,"0.111"
1830464,09-DEC-15,M4W,"0.179"
1834897,09-DEC-15,M4N,"<0.0500"
1830486,08-DEC-15,M6H,"1.04"
1830484,08-DEC-15,M6H,"0.670"
1832034,08-DEC-15,M6J,"0.723"
1828919,07-DEC-15,M4K,"<0.0500"
1830482,07-DEC-15,M6C,"1.32"
1828791,04-DEC-15,M4E,"0.563"
1828940,04-DEC-15,M8V,"3.54"
1828457,03-DEC-15,M5M,"3.51"
1828793,03-DEC-15,M4C,"2.02"
1830487,03-DEC-15,M6P,"<0.0500"
1828815,03-DEC-15,M4M,"<0.0500"
1830485,02-DEC-15,M4V,"<0.0500"
1828941,02-DEC-15,M9C,"2.55"
1842424,02-DEC-15,M4A,"0.0605"
1830480,01-DEC-15,M4E,"0.640"
1828914,01-DEC-15,M4L,"1.26"
1828456,01-DEC-15,M1L,"<0.0500"
1828817,01-DEC-15,M4C,"0.583"
1826090,30-NOV-15,M8V,"0.116"
1828816,30-NOV-15,M4E,"1.58"
1842425,30-NOV-15,M1K,"<0.0500"
1828870,29-NOV-15,M4J,"0.122"
1825157,29-NOV-15,M1N,"0.559"
1825587,28-NOV-15,M4E,"1.37"
1826060,27-NOV-15,M5S,"<0.0500"
1826043,27-NOV-15,M4J,"<0.0500"
1828918,27-NOV-15,M4J,"0.0796"
1826045,27-NOV-15,M6P,"1.91"
1842428,27-NOV-15,M1K,"4.16"
1828869,27-NOV-15,M4M,"0.0571"
1826059,26-NOV-15,M6P,"0.0519"
1828814,26-NOV-15,M4R,"1.91"
1826044,25-NOV-15,M6S,"<0.0500"
1826146,25-NOV-15,M6N,"<0.0500"
1826091,25-NOV-15,M6H,"1.48"
1824197,25-NOV-15,M4E,"0.472"
1825643,25-NOV-15,M5M,"4.06"
1824199,24-NOV-15,M4B,"<0.0500"
1826061,24-NOV-15,M4N,"<0.0500"
1824178,24-NOV-15,M4E,"0.0972"
1826046,24-NOV-15,M6N,"<0.0500"
1826063,24-NOV-15,M3H,"0.0834"
1823092,23-NOV-15,M1N,"<0.0500"
1824196,23-NOV-15,M4C,"0.335"
1826058,23-NOV-15,M6S,"0.454"
1825641,23-NOV-15,M2N,"0.156"
1826072,23-NOV-15,M1N,"<0.0500"
1824175,23-NOV-15,M4L,"2.91"
1824176,22-NOV-15,M4E,"2.06"
1825586,22-NOV-15,M6P,"<0.0500"
1825618,22-NOV-15,M4Y,"<0.0500"
1824198,20-NOV-15,M4B,"<0.0500"
1828897,19-NOV-15,M4J,"0.285"
1823093,18-NOV-15,M6N,"0.681"
1823095,18-NOV-15,M6P,"0.654"
1824182,18-NOV-15,M4K,"1.62"
1823107,18-NOV-15,M6R,"1.74"
1824195,18-NOV-15,M4L,"<0.0500"
1824180,17-NOV-15,M4L,"0.533"
1824177,17-NOV-15,M4L,"0.869"
1825647,17-NOV-15,M4G,"0.632"
1823094,17-NOV-15,M4C,"1.44"
1819499,16-NOV-15,M6E,"<0.0500"
1819991,16-NOV-15,M8X,"0.131"
1819532,16-NOV-15,M4J,"1.07"
1819500,16-NOV-15,M4E,"0.158"
1819504,15-NOV-15,M4J,"0.846"
1828792,14-NOV-15,M4L,"2.49"
1819524,13-NOV-15,M4C,"0.0588"
1819498,13-NOV-15,M4J,"1.12"
1818497,12-NOV-15,M6S,"1.84"
1818485,12-NOV-15,M4P,"0.863"
1820005,12-NOV-15,M6S,"0.0921"
1825628,12-NOV-15,M4R,"0.520"
1819501,11-NOV-15,M4C,"0.756"
1819502,11-NOV-15,M6P,"13.4"
1819503,11-NOV-15,M4J,"<0.0500"
1819525,11-NOV-15,M4T,"0.308"
1842429,11-NOV-15,M1K,"<0.0500"
1819505,10-NOV-15,M4S,"1.54"
1820008,10-NOV-15,M6K,"21.3"
1816977,09-NOV-15,M8W,"1.83"
1817911,09-NOV-15,M4L,"0.774"
1817964,09-NOV-15,M4C,"0.146"
1818486,08-NOV-15,M4C,"1.15"
1816976,07-NOV-15,M6S,"<0.0500"
1817947,06-NOV-15,M4L,"1.26"
1818481,06-NOV-15,M4M,"0.0938"
1816993,04-NOV-15,M9C,"0.0554"
1815976,04-NOV-15,M4K,"0.289"
1817000,04-NOV-15,M3J,"0.290"
1818484,03-NOV-15,M6S,"0.243"
1815428,03-NOV-15,M6H,"<0.0500"
